ZCTA	ghi
43451	4.032
43452	3.96
43456	4.008
43457	4.032
43458	4.008
43460	4.032
43462	4.0559998
43463	4.008
43464	4.008
43465	4.032
43466	4.032
43467	4.032
43468	4.032
97824	4.152
97825	4.368
97826	4.2720003
97827	4.032
97828	4.128
97830	4.2720003
97833	4.104
97834	4.128
97835	4.248
97836	4.2
97837	4.3440003
97838	4.248
97839	4.2720003
97840	4.2720003
97841	4.08
97842	4.128
97843	4.3440003
97844	4.224
97845	4.2720003
97846	4.176
97848	4.2
97850	4.104
97856	4.248
97857	4.104
97859	4.008
97862	3.96
97864	4.224
97865	4.296
97867	4.152
97868	4.08
97869	4.2
97870	4.296
97873	4.416
97874	4.224
97875	4.2720003
97876	4.08
97877	4.2720003
97880	4.176
97882	4.2720003
97883	4.296
94118	4.8
94121	4.56
94122	4.56
94123	4.848
94124	4.9440002
94127	4.8
94128	4.968
94129	4.8
94130	4.9440002
94131	4.8
94132	4.368
39531	4.92
42409	4.3919997
42410	4.3919997
48755	3.96
42411	4.416
42413	4.416
48756	3.912
48757	3.96
39532	4.896
39534	4.896
48759	3.9840002
39540	4.968
48760	3.912
48761	3.888
48762	3.8639998
39553	5.016
42420	4.3919997
39556	4.872
48763	3.9840002
48765	3.936
48766	3.936
39560	4.92
48767	3.9840002
39561	4.848
42431	4.368
42436	4.3919997
48768	3.912
48770	3.888
39562	4.872
42437	4.416
95825	5.184
95826	5.16
95827	5.136
95828	5.16
95829	5.136
95830	5.16
95831	5.16
95832	5.16
95833	5.136
33573	5.256
37336	4.5360003
33576	5.16
37337	4.44
37338	4.4639997
37339	4.4639997
37340	4.56
33578	5.304
37341	4.5360003
33579	5.208
37342	4.488
33584	5.136
33585	5.088
33592	5.136
37343	4.512
37345	4.512
33594	5.184
33596	5.208
37347	4.5360003
37348	4.56
37350	4.5360003
61820	4.224
53406	4.08
53501	4.0559998
53502	4.0559998
53503	3.9840002
61821	4.224
53504	4.0559998
53505	4.032
53506	4.032
53507	4.032
53508	4.0559998
61822	4.224
53510	4.0559998
61830	4.248
61831	4.176
53511	4.0559998
53515	4.032
53516	4.0559998
53517	4.032
61832	4.2
53518	4.008
61833	4.2
53520	4.032
53521	4.0559998
61834	4.2
53522	4.0559998
61839	4.224
61840	4.2
53523	4.008
61841	4.2
53525	4.0559998
02457	4.032
02458	4.032
02459	4.032
02460	4.0559998
02461	4.032
02462	4.032
02464	4.08
02465	4.0559998
02466	4.032
02467	4.032
02468	4.0559998
02472	4.032
02474	4.032
02476	4.0559998
02478	4.0559998
02481	4.032
02482	4.032
02492	4.032
02493	4.032
02494	4.032
02532	4.0559998
02534	4.104
02535	4.08
75098	4.9440002
75101	4.92
75102	4.9440002
75103	4.896
75104	4.9440002
75105	4.896
75109	4.896
75110	4.9440002
75114	4.872
75115	4.9440002
75116	4.9440002
75117	4.848
75119	4.92
75124	4.896
75125	4.92
75126	4.896
75127	4.872
75132	4.872
75134	4.92
75135	4.872
48472	3.936
48473	3.912
42025	4.4639997
48475	3.912
48476	3.936
48502	3.936
42027	4.4639997
42028	4.44
42029	4.44
48503	3.936
42031	4.512
42032	4.512
42035	4.488
42036	4.4639997
42037	4.44
48504	3.936
42038	4.44
42039	4.488
42040	4.488
42041	4.512
48505	3.936
29324	4.704
29325	4.752
