AQC00914000        6380R
AQW00061705        4166C
CAW00064757         637Q
CQC00914080        1414P
CQC00914801        1599R
CQC00914855        1037P
CQC00914874        1165P
FMC00914213        2299R
FMC00914325        2922P
FMC00914395        5059P
FMC00914419        3023R
FMC00914429        2333R
FMC00914446        2049R
FMC00914482        3407R
FMC00914585        2313R
FMC00914590        3886R
FMC00914705        4155R
FMC00914720        3605R
FMC00914761        1963R
FMC00914808        2166R
FMC00914831        2078R
FMC00914892        1749R
FMC00914898        4753P
FMC00914911        2315P
FMW00040308        2257C
FMW00040504        3914C
FMW00040505        2842C
GQC00914001        1419P
GQC00914025        1634P
GQC00914156        1560P
GQC00914468        1426P
GQC00914950        1337P
GQW00041415        1547S
JQW00021603         597P
MQW00022701        1165P
PSC00914519        3114R
PSW00040309        3256C
RMC00913915        2050R
RMC00914304        2634R
RMC00914487        2887R
RMC00914903         868R
RMW00040604        1544S
RMW00040710        2746C
RQC00660040         844S
RQC00660053         819S
RQC00660061         820S
RQC00660152         446S
RQC00660158        1034R
RQC00660426        1248S
RQC00660668        1249R
RQC00660948         414R
RQC00661142        1356S
RQC00661309        1020R
RQC00661345         944S
RQC00661590        1741S
RQC00661901         969R
RQC00662316         339R
RQC00662330        1339R
RQC00662336        1158R
RQC00662634        1250R
RQC00662723         400R
RQC00662801         730R
RQC00662934        1479R
RQC00663023         637S
RQC00663409        1529R
RQC00663431        1109S
RQC00663532         380S
RQC00663657        1324R
RQC00663904        1154S
RQC00664126         499S
RQC00664193         720R
RQC00664276        1123S
RQC00664340        1034R
RQC00664702        1099R
RQC00664867        1399S
RQC00664910        1126R
RQC00665020         400R
RQC00665064        1045S
RQC00665097         696R
RQC00665123        1300R
RQC00665693         548Q
RQC00665807        1369R
RQC00665908         979Q
RQC00666050        1356R
RQC00666073         517R
RQC00666083         538S
RQC00666258         637R
RQC00666270        1345R
RQC00666361        1083S
RQC00666390        1284S
RQC00666514        1502S
RQC00666805        2027S
RQC00666900        1010R
RQC00666983         723R
RQC00666992        3959R
RQC00667292         357S
RQC00667295         308R
RQC00668126         755Q
RQC00668144        2116R
RQC00668306        1437R
RQC00668814        1334Q
RQC00668815        1629S
RQC00668940         330S
RQC00669421        1499R
RQC00669432         997R
RQC00669521        1337S
RQC00669608         866R
RQC00669774         496R
RQC00669860         568S
RQW00011603         981R
RQW00011630         953R
RQW00011641        1117C
USC00010008        1510S
USC00010063        1623R
USC00010140        1529S
USC00010160        1546S
USC00010178        1543R
USC00010184        1546S
USC00010252        1539S
USC00010260        1612Q
USC00010369        1634S
USC00010390        1652R
USC00010402        1626R
USC00010425        1473R
USC00010430        1378R
USC00010440        1416R
USC00010505        1688S
USC00010583        1686S
USC00010655        1556R
USC00010748        1630Q
USC00010764        1588S
USC00010957        1478R
USC00011080        1778S
USC00011084        1619S
USC00011099        1732R
USC00011178        1401R
USC00011288        1619R
USC00011301        1577R
USC00011324        1480Q
USC00011377        1594R
USC00011490        1514Q
USC00011620        1565S
USC00011690        1543R
USC00011694        1631R
USC00011810        1474S
USC00012096        1714R
USC00012172        1546R
USC00012245        1563S
USC00012377        1475Q
USC00012577        1488R
USC00012675        1439R
USC00012730        1353R
USC00012758        1606S
USC00012813        1577S
USC00012840        1502R
USC00012883        1585R
USC00013043        1532R
